City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
470,san julian,21.0167,-102.1667,21.29,62,100,3.25,MX,1721777239
471,cambria,35.5641,-121.0808,39.58,58,100,2.14,US,1721777239
472,newman,37.3138,-121.0208,43.19,12,39,4.86,US,1721777240
473,the pas,53.8251,-101.2541,25.01,47,75,5.14,CA,1721777240
474,crane,31.3974,-102.3501,31.65,28,3,4.05,US,1721777241
475,ventspils,57.3894,21.5606,18.96,88,100,1.54,LV,1721777242
476,healesville,-37.65,145.5167,13.16,69,98,3.49,AU,1721777242
477,beloretsk,53.9631,58.3981,11.67,89,100,0.94,RU,1721777243
478,tumpat,6.1978,102.171,25.99,83,20,1.54,MY,1721777243
479,solnechnyy,50.7214,136.6319,15.77,87,95,3.58,RU,1721777244
480,berbera,10.4396,45.0143,34.0,37,99,10.49,SO,1721777244
481,swakopmund,-22.6833,14.5333,9.43,85,30,0.89,NA,1721777245
482,sao joaquim,-28.2939,-49.9317,10.71,93,85,1.62,BR,1721777245
483,jidong,45.2167,131.0833,21.73,88,99,1.62,CN,1721777246
484,palikir - national government center,6.9248,158.1611,28.47,89,100,2.06,FM,1721777247
485,priozersk,61.0393,30.1291,17.27,100,0,1.31,RU,1721777095
486,correntina,-13.3433,-44.6367,21.17,41,8,1.48,BR,1721777248
487,noumea,-22.2763,166.4572,17.99,89,100,1.91,NC,1721777248
488,vilhena,-12.7406,-60.1458,22.12,46,0,2.06,BR,1721777249
489,gobernador virasora,-28.05,-56.0333,20.58,78,100,0.89,AR,1721777249
490,gadzhiyevo,69.2551,33.3362,17.07,64,84,4.53,RU,1721777250
491,behshahr,36.6923,53.5526,25.34,78,72,1.35,IR,1721777251
492,puerto iguazu,-25.5991,-54.5736,21.49,81,0,1.54,AR,1721777061
493,dunedin,-45.8742,170.5036,10.6,59,96,1.77,NZ,1721777252
494,mogocha,53.7333,119.7667,22.18,60,100,0.88,RU,1721777252
495,zhezqazghan,47.7833,67.7667,24.41,48,33,0.91,KZ,1721776967
496,turbat,26.0023,63.044,28.68,78,12,1.41,PK,1721777253
497,cuenca,-2.8833,-78.9833,15.07,55,75,2.06,EC,1721777073
498,an nuhud,12.7,28.4333,25.16,68,99,5.93,SD,1721777254
499,karachi,24.9056,67.0822,29.9,84,40,5.14,PK,1721777180
500,rawah,34.4816,41.9093,34.4,28,0,7.55,IQ,1721777256
501,mahdia,35.5047,11.0622,26.97,64,0,9.07,TN,1721777257
502,thaton,16.9206,97.3714,24.86,93,100,1.83,MM,1721777257
503,aizawl,23.7333,92.7167,22.04,98,100,1.14,IN,1721777258
504,leiyang,26.4024,112.8591,29.05,71,33,0.71,CN,1721777258
505,hell-ville,-13.4,48.2667,24.86,65,88,3.51,MG,1721777259
506,hetauda,27.4284,85.0322,27.64,92,100,1.63,NP,1721777259
507,yeraliyev,43.2,51.65,27.64,46,0,4.46,KZ,1721777260
508,kismayo,-0.3582,42.5454,24.47,83,81,5.75,SO,1721777261
509,miri,4.4148,114.0089,25.08,88,40,0.0,MY,1721777261
510,argo,37.6333,22.7333,25.44,61,43,2.54,GR,1721777262
511,kapa'a,22.0752,-159.319,27.18,86,75,6.17,US,1721777262
512,tocache,-8.1842,-76.5125,25.34,65,17,0.36,PE,1721777263
513,trubchevsk,52.5798,33.7644,13.91,82,21,2.6,RU,1721777263
